total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1,-1.35026e+08,1e+07,nan,1891.77,1013.37
2,-1.35026e+08,1e+07,nan,1800.08,1013.44
3,-1.35026e+08,1e+07,0,1170.51,772.857
4,-1.35026e+08,1e+07,nan,1537.79,1028.26
5,-1.35026e+08,1e+07,nan,1606.42,934.465
6,-1.35026e+08,1e+07,nan,1284.72,1023.46
7,-1.35026e+08,1e+07,nan,1533.04,1015.67
8,-1.35026e+08,1e+07,nan,1795.01,816.195
9,-1.35026e+08,1e+07,0,1137.55,697.828
10,-1.35026e+08,1e+07,nan,1449.58,895.37
11,-1.35026e+08,1e+07,nan,1813.68,918.87
12,-1.35026e+08,1e+07,0,60.4,42.2261
13,-1.35026e+08,1e+07,0.176777,642.3,373.647
14,-1.35026e+08,1e+07,nan,1950.61,1033.09
15,-1.35026e+08,1e+07,0,4.5,2.5
16,-1.35026e+08,1e+07,nan,914.691,662.272
17,-1.35026e+08,1e+07,0,1404.69,703.17
18,-1.35026e+08,1e+07,0,2158.92,1302.6
19,-1.35026e+08,1e+07,0,1208.46,684.983
20,-1.35026e+08,1e+07,nan,1369.28,907.24
21,-1.35026e+08,1e+07,nan,1051.84,707.84
22,-1.35026e+08,1e+07,nan,1615.91,997.847
23,-1.35026e+08,1e+07,nan,1355.4,652.11
24,-1.35026e+08,1e+07,0,542.591,362.427
25,-1.35026e+08,1e+07,0,565.568,342.81
26,-1.35026e+08,1e+07,0,1805,1058.62
27,-1.35026e+08,1e+07,0,639.642,343.829
28,-1.35026e+08,1e+07,0,538.806,412.262
29,-1.35026e+08,1e+07,0,1261,768.435
30,-1.35026e+08,1e+07,0,3063.5,300.01
31,-1.35026e+08,1e+07,nan,1212.67,669.925
32,-1.35026e+08,1e+07,nan,1457.45,676.159
33,-1.35026e+08,1e+07,nan,998.7,660.028
34,-1.35026e+08,1e+07,0.450694,1562.14,1042.93
35,-1.35026e+08,1e+07,nan,1191.25,699.522
36,-1.35026e+08,1e+07,nan,911.373,640.042
37,-1.35026e+08,1e+07,nan,1053.04,713.113
38,-1.35026e+08,1e+07,nan,1707.03,859.617
39,-1.35026e+08,1e+07,nan,1260.67,766.475
40,-1.35026e+08,1e+07,0,4.5,2.5
41,-1.35026e+08,1e+07,nan,1473.69,972.769
42,-1.35026e+08,1e+07,nan,1617.26,939.92
43,-1.35026e+08,1e+07,nan,1530.23,987.416
44,-1.35026e+08,1e+07,nan,1948.48,893.771
45,-1.35026e+08,1e+07,nan,1606.42,934.465
46,-1.35026e+08,1e+07,nan,1714.35,948.018
47,-1.35026e+08,1e+07,nan,1604.57,1054.4
48,-1.35026e+08,1e+07,nan,1588.52,817.154
49,-1.35026e+08,1e+07,0,1214.48,1316.6
50,-1.35026e+08,1e+07,nan,1449.58,895.37
51,-1.35026e+08,1e+07,nan,1152.66,722.951
52,-1.35026e+08,1e+07,nan,1305.23,942.716
53,-1.35026e+08,1e+07,nan,1100.83,1030.9
54,-1.35026e+08,1e+07,nan,1548.68,904.728
55,-1.35026e+08,1e+07,0,4.5,2.5
56,-1.35026e+08,1e+07,0,507.816,381.707
57,-1.35026e+08,1e+07,nan,1393.83,657.163
58,-1.35026e+08,1e+07,nan,1488.39,885.326
59,-1.35026e+08,1e+07,0,1293.43,767.768
60,-1.35026e+08,1e+07,nan,1369.28,907.24
61,-1.35026e+08,1e+07,0,1292.58,769.167
62,-1.35026e+08,1e+07,nan,1615.91,997.847
63,-1.35026e+08,1e+07,nan,1355.4,652.11
64,-1.35026e+08,1e+07,0,273.167,194.696
65,-1.35026e+08,1e+07,0,565.568,342.81
66,-1.35026e+08,1e+07,nan,1698.21,1071.12
67,-1.35026e+08,1e+07,0,639.642,343.829
68,-1.35026e+08,1e+07,0,538.806,412.262
69,-1.35026e+08,1e+07,0,1201.44,755.744
70,-1.35026e+08,1e+07,0,3063.5,300.01
71,-1.35026e+08,1e+07,0,273.955,168.118
72,-1.35026e+08,1e+07,nan,1457.45,676.159
73,-1.35026e+08,1e+07,nan,998.7,660.028
74,-1.35026e+08,1e+07,nan,1578.8,859.772
75,-1.35026e+08,1e+07,nan,1191.25,699.522
76,-1.35026e+08,1e+07,nan,1373.87,734.109
77,-1.35026e+08,1e+07,nan,1053.04,713.113
78,-1.35026e+08,1e+07,nan,1707.03,859.617
79,-1.35026e+08,1e+07,0,1232.15,773.735
80,-1.35026e+08,1e+07,0,4.5,2.5
81,-1.35026e+08,1e+07,nan,1473.69,972.769
82,-1.35026e+08,1e+07,nan,1888.32,974.831
83,-1.35026e+08,1e+07,nan,1911.07,990.506
84,-1.35026e+08,1e+07,nan,1948.48,893.771
85,-1.35026e+08,1e+07,nan,1606.42,934.465
86,-1.35026e+08,1e+07,nan,1714.35,948.018
87,-1.35026e+08,1e+07,nan,1789.83,932.092
88,-1.35026e+08,1e+07,nan,1852.3,1058.47
89,-1.35026e+08,1e+07,0,1214.48,1316.6
90,-1.35026e+08,1e+07,nan,1449.58,895.37
91,-1.35026e+08,1e+07,nan,1152.66,722.951
92,-1.35026e+08,1e+07,nan,1329.83,956.921
93,-1.35026e+08,1e+07,nan,1480.41,900.443
94,-1.35026e+08,1e+07,nan,1548.68,904.728
95,-1.35026e+08,1e+07,0,4.5,2.5
96,-1.35026e+08,1e+07,0,507.816,381.707
97,-1.35026e+08,1e+07,nan,1042.95,727.862
98,-1.35026e+08,1e+07,0.330719,1502.28,971.466
99,-1.35026e+08,1e+07,0,1293.43,767.768
100,-1.35026e+08,1e+07,nan,1369.28,907.24
101,-1.35026e+08,1e+07,0,1292.58,769.167
102,-1.35026e+08,1e+07,0.395285,1659.29,1003.57
103,-1.35026e+08,1e+07,nan,1072.44,696.578
104,-1.35026e+08,1e+07,0,273.167,194.696
105,-1.35026e+08,1e+07,0,565.568,342.81
106,-1.35026e+08,1e+07,nan,1698.21,1071.12
107,-1.35026e+08,1e+07,nan,1200.42,720.13
108,-1.35026e+08,1e+07,0,525.056,325.325
109,-1.35026e+08,1e+07,0,1201.44,755.744
110,-1.35026e+08,1e+07,0,3063.5,300.01
111,-1.35026e+08,1e+07,0,273.955,168.118
112,-1.35026e+08,1e+07,0,1132.14,709.044
113,-1.35026e+08,1e+07,nan,1417.34,626.503
114,-1.35026e+08,1e+07,nan,1578.8,859.772
115,-1.35026e+08,1e+07,nan,1191.25,699.522
116,-1.35026e+08,1e+07,nan,1373.87,734.109
117,-1.35026e+08,1e+07,nan,1386.34,725.331
118,-1.35026e+08,1e+07,nan,1345.14,996.706
119,-1.35026e+08,1e+07,0,1232.15,773.735
120,-1.35026e+08,1e+07,0,4.5,2.5
121,-1.35026e+08,1e+07,nan,1473.69,972.769
122,-1.35026e+08,1e+07,nan,1888.32,974.831
123,-1.35026e+08,1e+07,nan,1911.07,990.506
124,-1.35026e+08,1e+07,nan,1948.48,893.771
125,-1.35026e+08,1e+07,nan,1606.42,934.465
126,-1.35026e+08,1e+07,nan,1714.35,948.018
127,-1.35026e+08,1e+07,nan,1789.83,932.092
128,-1.35026e+08,1e+07,nan,1852.3,1058.47
129,-1.35026e+08,1e+07,0,1214.48,1316.6
130,-1.35026e+08,1e+07,nan,1449.58,895.37
131,-1.35026e+08,1e+07,nan,1152.66,722.951
132,-1.35026e+08,1e+07,nan,1329.83,956.921
133,-1.35026e+08,1e+07,nan,1480.41,900.443
134,-1.35026e+08,1e+07,nan,1548.68,904.728
135,-1.35026e+08,1e+07,0,4.5,2.5
136,-1.35026e+08,1e+07,0,507.816,381.707
137,-1.35026e+08,1e+07,nan,1042.95,727.862
138,-1.35026e+08,1e+07,0.330719,1502.28,971.466
139,-1.35026e+08,1e+07,0,1293.43,767.768
140,-1.35026e+08,1e+07,nan,1369.28,907.24
141,-1.35026e+08,1e+07,0,1292.58,769.167
142,-1.35026e+08,1e+07,0.395285,1659.29,1003.57
143,-1.35026e+08,1e+07,nan,1072.44,696.578
144,-1.35026e+08,1e+07,0,273.167,194.696
145,-1.35026e+08,1e+07,0,565.568,342.81
146,-1.35026e+08,1e+07,nan,1698.21,1071.12
147,-1.35026e+08,1e+07,nan,1200.42,720.13
148,-1.35026e+08,1e+07,0,525.056,325.325
149,-1.35026e+08,1e+07,0,1201.44,755.744
150,-1.35026e+08,1e+07,0,3063.5,300.01
151,-1.35026e+08,1e+07,0,273.955,168.118
152,-1.35026e+08,1e+07,0,1132.14,709.044
153,-1.35026e+08,1e+07,nan,1417.34,626.503
154,-1.35026e+08,1e+07,nan,1578.8,859.772
155,-1.35026e+08,1e+07,nan,1191.25,699.522
156,-1.35026e+08,1e+07,nan,1373.87,734.109
157,-1.35026e+08,1e+07,nan,1386.34,725.331
158,-1.35026e+08,1e+07,nan,1345.14,996.706
159,-1.35026e+08,1e+07,0,1232.15,773.735
160,-1.35026e+08,1e+07,0,4.5,2.5
161,-1.35026e+08,1e+07,nan,1807.84,921.867
162,-1.35026e+08,1e+07,nan,1888.32,974.831
163,-1.35026e+08,1e+07,nan,1911.07,990.506
164,-1.35026e+08,1e+07,nan,1574.08,965.095
165,-1.35026e+08,1e+07,nan,1606.42,934.465
166,-1.35026e+08,1e+07,nan,1794.43,980.213
167,-1.35026e+08,1e+07,nan,1789.83,932.092
168,-1.35026e+08,1e+07,nan,1852.3,1058.47
169,-1.35025e+08,1e+07,nan,1443.86,909.652
170,-1.35025e+08,1e+07,nan,1449.58,895.37
171,-1.35025e+08,1e+07,nan,1760.23,1016.91
172,-1.35025e+08,1e+07,nan,1329.83,956.921
173,-1.35025e+08,1e+07,nan,1480.41,900.443
174,-1.35025e+08,1e+07,nan,955.843,717.268
175,-1.35025e+08,1e+07,0,4.5,2.5
176,-1.35025e+08,1e+07,nan,1607.35,909.703
177,-1.35025e+08,1e+07,nan,1042.95,727.862
178,-1.35025e+08,1e+07,0.330719,1502.28,971.466
179,-1.35025e+08,1e+07,0,1795.84,1249.83
180,-1.35025e+08,1e+07,nan,1369.28,907.24
181,-1.35025e+08,1e+07,0,1763.98,1260.95
182,-1.35025e+08,1e+07,0.395285,1659.29,1003.57
183,-1.35025e+08,1e+07,nan,1072.44,696.578
184,-1.35025e+08,1e+07,nan,1323.46,666.512
185,-1.35025e+08,1e+07,0,565.568,342.81
186,-1.35025e+08,1e+07,nan,1050.43,635.902
187,-1.35025e+08,1e+07,nan,1200.42,720.13
188,-1.35025e+08,1e+07,0,525.056,325.325
189,-1.35025e+08,1e+07,nan,990.301,716.776
190,-1.35025e+08,1e+07,0,3063.5,300.01
191,-1.35025e+08,1e+07,nan,1621.02,767.444
192,-1.35025e+08,1e+07,0,1132.14,709.044
193,-1.35025e+08,1e+07,nan,1417.34,626.503
194,-1.35025e+08,1e+07,0,555.186,353.016
195,-1.35025e+08,1e+07,nan,1191.25,699.522
196,-1.35025e+08,1e+07,nan,1056.36,720.734
197,-1.35025e+08,1e+07,nan,1386.34,725.331
198,-1.35025e+08,1e+07,nan,1345.14,996.706
199,-1.35025e+08,1e+07,nan,1656.81,937.405
200,-1.35025e+08,1e+07,0,4.5,2.5
201,-1.35025e+08,1e+07,nan,1807.84,921.867
202,-1.35025e+08,1e+07,nan,1888.32,974.831
203,-1.35025e+08,1e+07,nan,1911.07,990.506
204,-1.35025e+08,1e+07,nan,1574.08,965.095
205,-1.35025e+08,1e+07,nan,1606.42,934.465
206,-1.35025e+08,1e+07,nan,1794.43,980.213
207,-1.35025e+08,1e+07,nan,1789.83,932.092
208,-1.35025e+08,1e+07,nan,1852.3,1058.47
209,-1.35025e+08,1e+07,nan,1443.86,909.652
210,-1.35025e+08,1e+07,nan,1449.58,895.37
211,-1.35025e+08,1e+07,nan,1760.23,1016.91
212,-1.35025e+08,1e+07,nan,1329.83,956.921
213,-1.35025e+08,1e+07,nan,1480.41,900.443
214,-1.35025e+08,1e+07,nan,955.843,717.268
215,-1.35025e+08,1e+07,0,4.5,2.5
216,-1.35025e+08,1e+07,nan,1607.35,909.703
217,-1.35025e+08,1e+07,nan,1042.95,727.862
218,-1.35025e+08,1e+07,0.330719,1502.28,971.466
219,-1.35025e+08,1e+07,0,1795.84,1249.83
220,-1.35025e+08,1e+07,nan,1369.28,907.24
221,-1.35025e+08,1e+07,0,1763.98,1260.95
222,-1.35025e+08,1e+07,0.395285,1659.29,1003.57
223,-1.35025e+08,1e+07,nan,1072.44,696.578
224,-1.35025e+08,1e+07,nan,1323.46,666.512
225,-1.35025e+08,1e+07,0,565.568,342.81
226,-1.35025e+08,1e+07,nan,1050.43,635.902
227,-1.35025e+08,1e+07,nan,1200.42,720.13
228,-1.35025e+08,1e+07,0,525.056,325.325
229,-1.35025e+08,1e+07,nan,990.301,716.776
230,-1.35025e+08,1e+07,0,3063.5,300.01
231,-1.35025e+08,1e+07,nan,1621.02,767.444
232,-1.35025e+08,1e+07,0,1132.14,709.044
233,-1.35025e+08,1e+07,nan,1417.34,626.503
234,-1.35025e+08,1e+07,0,555.186,353.016
235,-1.35025e+08,1e+07,nan,1191.25,699.522
236,-1.35025e+08,1e+07,nan,1056.36,720.734
237,-1.35025e+08,1e+07,nan,1386.34,725.331
238,-1.35025e+08,1e+07,nan,1345.14,996.706
239,-1.35025e+08,1e+07,nan,1656.81,937.405
240,-1.35025e+08,1e+07,0,4.5,2.5
241,-1.35025e+08,1e+07,nan,1807.84,921.867
242,-1.35025e+08,1e+07,nan,1888.32,974.831
243,-1.35025e+08,1e+07,nan,1911.07,990.506
244,-1.35025e+08,1e+07,nan,1574.08,965.095
245,-1.35025e+08,1e+07,nan,1606.42,934.465
246,-1.35025e+08,1e+07,nan,1794.43,980.213
247,-1.35025e+08,1e+07,nan,1789.83,932.092
248,-1.35025e+08,1e+07,nan,1852.3,1058.47
249,-1.35025e+08,1e+07,nan,1443.86,909.652
250,-1.35025e+08,1e+07,nan,1449.58,895.37
251,-1.35025e+08,1e+07,nan,1760.23,1016.91
252,-1.35025e+08,1e+07,nan,1329.83,956.921
253,-1.35025e+08,1e+07,nan,1480.41,900.443
254,-1.35025e+08,1e+07,nan,955.843,717.268
255,-1.35025e+08,1e+07,0,4.5,2.5
256,-1.35025e+08,1e+07,nan,1607.35,909.703
257,-1.35025e+08,1e+07,nan,1042.95,727.862
258,-1.35025e+08,1e+07,0.330719,1502.28,971.466
259,-1.35025e+08,1e+07,0,1795.84,1249.83
260,-1.35025e+08,1e+07,nan,1369.28,907.24
261,-1.35025e+08,1e+07,0,1763.98,1260.95
262,-1.35025e+08,1e+07,0.395285,1659.29,1003.57
263,-1.35025e+08,1e+07,nan,1072.44,696.578
264,-1.35025e+08,1e+07,nan,1323.46,666.512
265,-1.35025e+08,1e+07,0,565.568,342.81
266,-1.35025e+08,1e+07,nan,1050.43,635.902
267,-1.35025e+08,1e+07,nan,1200.42,720.13
268,-1.35025e+08,1e+07,0,525.056,325.325
269,-1.35025e+08,1e+07,nan,990.301,716.776
270,-1.35025e+08,1e+07,0,3063.5,300.01
271,-1.35025e+08,1e+07,nan,1621.02,767.444
272,-1.35025e+08,1e+07,0,1132.14,709.044
273,-1.35025e+08,1e+07,nan,1417.34,626.503
274,-1.35025e+08,1e+07,0,555.186,353.016
275,-1.35025e+08,1e+07,nan,1191.25,699.522
276,-1.35025e+08,1e+07,nan,1056.36,720.734
277,-1.35025e+08,1e+07,nan,1386.34,725.331
278,-1.35025e+08,1e+07,nan,1345.14,996.706
279,-1.35025e+08,1e+07,nan,1656.81,937.405
280,-1.35025e+08,1e+07,0,4.5,2.5
281,-1.35025e+08,1e+07,nan,1807.84,921.867
282,-1.35025e+08,1e+07,nan,1888.32,974.831
283,-1.35025e+08,1e+07,nan,1911.07,990.506
284,-1.35025e+08,1e+07,nan,1574.08,965.095
285,-1.35025e+08,1e+07,nan,1606.42,934.465
