# zMean	zSD	jMean	jSD	FMean	FSD	TotSteps
7.209944728658797430e+02	7.649487041804259313e-02	1.645801739736578284e+00	1.764928380349510828e+00	1.167416533955294078e+01	5.665210103160234212e-03	2.600000000000000000e+01
7.217054911895633040e+02	8.418147594215331930e-02	1.772273666872532516e+00	1.895472425832294139e+00	1.199180732250093762e+01	6.234480108275874954e-03	2.600000000000000000e+01
7.224156747261456530e+02	9.316622404846487682e-02	1.910133142883641444e+00	2.052709156378352162e+00	1.230951112978164730e+01	6.899890553029308649e-03	2.900000000000000000e+01
7.231233912432923034e+02	1.053221068421464623e-01	2.062516849129452989e+00	2.277857611084503020e+00	1.262739764452176949e+01	7.800155232729366617e-03	2.900000000000000000e+01
7.238326910909033813e+02	1.263300614627188567e-01	2.237849826837897904e+00	2.688914130012483916e+00	1.294516689780769880e+01	9.356004351928959295e-03	3.100000000000000000e+01
7.245756221249523605e+02	1.715900368147170174e-01	2.459457972687280503e+00	3.617933779035883646e+00	1.326044542542603111e+01	1.270795812649794243e-02	3.600000000000000000e+01
7.253965540761761304e+02	2.857051811037773503e-01	2.792279918506540781e+00	5.981027496008734623e+00	1.356994720511839247e+01	2.115932571254575123e-02	4.500000000000000000e+01
7.264419646046526395e+02	5.873796871430350119e-01	3.414899203247392823e+00	1.218298359388569096e+01	1.386282410137942556e+01	4.350133962981317381e-02	5.000000000000000000e+01
7.280883382709936313e+02	1.336721686959052136e+00	4.780798209248850128e+00	2.745362165471217963e+01	1.411119366765021077e+01	9.899760813618740940e-02	5.200000000000000000e+01
7.310853628668071451e+02	2.839161047821052719e+00	7.801300827331753673e+00	5.787480421459204649e+01	1.425953402608425691e+01	2.102682672016271681e-01	5.600000000000000000e+01
7.363138301291055541e+02	4.860990308997411802e+00	1.353329861773202758e+01	9.977583845303001908e+01	1.424261374063844521e+01	3.600049422843483171e-01	6.200000000000000000e+01
7.438913567027782392e+02	6.372360717379656592e+00	2.216921698359332282e+01	1.330583825513779175e+02	1.405172212259224196e+01	4.719370347291373946e-01	6.300000000000000000e+01
7.518403124728288276e+02	5.050001956480311804e+00	3.124792586155851026e+01	1.062189728365705150e+02	1.383332245826229467e+01	3.740031448969318717e-01	6.900000000000000000e+01
