total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1,0.732845,0.0197855,6.39958e-08,0.32156,0.55503
2,1.73286,0.019784,6.3995e-08,0.32156,0.55503
3,2.73288,0.0197826,9.38619e-08,0.321562,0.555031
4,3.7329,0.0197811,9.35356e-08,0.321561,0.555031
5,4.73292,0.0197796,6.61309e-08,0.32156,0.555031
6,5.73294,0.0197782,6.3978e-08,0.32156,0.55503
7,6.73296,0.0197767,1.01419e-07,0.321562,0.555032
8,7.73298,0.0197752,9.35348e-08,0.321562,0.555031
9,8.733,0.0197738,9.35351e-08,0.321561,0.555031
10,9.73302,0.0197723,6.39954e-08,0.32156,0.55503
11,10.733,0.0197709,9.38619e-08,0.321562,0.555031
12,11.7331,0.0197694,9.35333e-08,0.321561,0.555031
13,12.7331,0.0197679,6.61313e-08,0.32156,0.555031
14,13.7331,0.0197665,1.01418e-07,0.321562,0.555032
15,14.7331,0.019765,9.35351e-08,0.321561,0.555031
16,15.7331,0.0197635,9.35342e-08,0.321561,0.555031
17,16.7332,0.019762,6.39958e-08,0.32156,0.55503
18,17.7332,0.0197606,9.38617e-08,0.321561,0.555031
19,18.7332,0.0197591,9.35356e-08,0.321561,0.555031
20,19.7332,0.0197577,6.3978e-08,0.32156,0.55503
21,20.7332,0.0197562,1.01417e-07,0.321562,0.555032
22,21.7333,0.0197548,9.35362e-08,0.321561,0.555031
23,22.7333,0.0197533,6.39954e-08,0.32156,0.55503
24,23.7333,0.0197519,9.38619e-08,0.321561,0.555031
25,24.7333,0.0197504,9.35348e-08,0.321562,0.555031
26,25.7333,0.0197489,6.61301e-08,0.32156,0.555031
27,26.7334,0.0197475,1.01419e-07,0.321562,0.555032
28,27.7334,0.019746,9.35359e-08,0.321562,0.555031
29,28.7334,0.0197445,6.39962e-08,0.32156,0.55503
30,29.7334,0.0197431,9.38625e-08,0.321562,0.555031
31,30.7334,0.0197416,9.35348e-08,0.321562,0.555031
32,31.7335,0.0197402,6.39759e-08,0.32156,0.55503
33,32.7335,0.0197387,1.01178e-07,0.321562,0.555032
34,33.7335,0.0197373,9.35356e-08,0.321561,0.555031
35,34.7335,0.0197358,6.39806e-08,0.32156,0.55503
36,35.7335,0.0197344,9.38608e-08,0.321561,0.555031
37,36.7336,0.0197329,6.61305e-08,0.32156,0.555031
38,37.7336,0.0197315,1.0142e-07,0.321562,0.555032
39,38.7336,0.01973,9.35362e-08,0.321561,0.555031
40,39.7336,0.0197285,6.39971e-08,0.32156,0.555031
41,40.7336,0.0197271,9.38611e-08,0.321562,0.555031
42,41.7337,0.0197256,6.61301e-08,0.32156,0.555031
43,42.7337,0.0197242,1.0142e-07,0.321562,0.555032
44,43.7337,0.0197227,9.35353e-08,0.321562,0.555031
45,44.7337,0.0197213,6.39979e-08,0.32156,0.55503
46,45.7337,0.0197198,9.38605e-08,0.321562,0.555031
47,46.7338,0.0197184,6.61313e-08,0.32156,0.555031
48,47.7338,0.0197169,1.01417e-07,0.321562,0.555032
49,48.7338,0.0197155,9.35353e-08,0.321562,0.555031
50,49.7338,0.019714,6.3978e-08,0.32156,0.55503
51,50.7338,0.0197126,9.35351e-08,0.321561,0.555031
52,51.7338,0.0197111,6.39789e-08,0.32156,0.55503
53,52.7339,0.0197097,9.35356e-08,0.321562,0.555031
54,53.7339,0.0197082,6.39946e-08,0.32156,0.555031
55,54.7339,0.0197068,9.38617e-08,0.321562,0.555031
56,55.7339,0.0197053,6.61292e-08,0.32156,0.555031
57,56.7339,0.0197039,1.01418e-07,0.321562,0.555032
58,57.734,0.0197024,9.35351e-08,0.321562,0.555031
59,58.734,0.019701,6.39776e-08,0.32156,0.555031
60,59.734,0.0196995,9.35348e-08,0.321561,0.555031
61,60.734,0.0196981,6.39789e-08,0.32156,0.555031
62,61.734,0.0196967,9.35342e-08,0.321562,0.555031
63,62.7341,0.0196952,6.3978e-08,0.32156,0.55503
64,63.7341,0.0196938,9.35353e-08,0.321561,0.555031
65,64.7341,0.0196923,6.39763e-08,0.32156,0.55503
66,65.7341,0.0196909,9.35362e-08,0.321562,0.555031
67,66.7341,0.0196894,6.39958e-08,0.32156,0.55503
68,67.7342,0.019688,9.35353e-08,0.321562,0.555031
69,68.7342,0.0196865,6.39755e-08,0.32156,0.555031
70,69.7342,0.0196851,9.35371e-08,0.321561,0.555031
71,70.7342,0.0196836,6.39789e-08,0.32156,0.555031
72,71.7342,0.0196822,9.35345e-08,0.321561,0.555031
73,72.7343,0.0196807,6.39785e-08,0.32156,0.555031
74,73.7343,0.0196793,9.35342e-08,0.321562,0.555031
75,74.7343,0.0196779,6.39772e-08,0.32156,0.555031
76,75.7343,0.0196764,9.35359e-08,0.321562,0.555031
77,76.7343,0.019675,1.01418e-07,0.321562,0.555032
78,77.7344,0.0196736,9.35348e-08,0.321562,0.555031
79,78.7344,0.0196721,5.46423e-08,0.32156,0.55503
80,79.7344,0.0196707,6.61313e-08,0.32156,0.555031
81,80.7344,0.0196693,9.35359e-08,0.321562,0.555031
82,81.7344,0.0196678,6.39954e-08,0.32156,0.555031
83,82.7345,0.0196664,9.38622e-08,0.321562,0.555031
84,83.7345,0.0196649,6.39793e-08,0.32156,0.555031
85,84.7345,0.0196635,9.35356e-08,0.321561,0.555031
86,85.7345,0.019662,6.39797e-08,0.32156,0.555031
87,86.7345,0.0196606,6.61313e-08,0.32156,0.555031
88,87.7346,0.0196592,1.01418e-07,0.321562,0.555032
89,88.7346,0.0196578,6.39958e-08,0.32156,0.555031
90,89.7346,0.0196563,9.35356e-08,0.321562,0.555031
91,90.7346,0.0196549,6.3978e-08,0.32156,0.555031
92,91.7346,0.0196534,9.35353e-08,0.321562,0.555031
93,92.7346,0.019652,5.46408e-08,0.32156,0.55503
94,93.7347,0.0196506,6.61137e-08,0.32156,0.555031
95,94.7347,0.0196492,9.35351e-08,0.321562,0.555031
96,95.7347,0.0196477,6.39776e-08,0.32156,0.555031
97,96.7347,0.0196463,6.61313e-08,0.32156,0.555031
98,97.7347,0.0196449,9.35351e-08,0.321562,0.555031
99,98.7348,0.0196434,6.39793e-08,0.32156,0.555031
100,99.7348,0.019642,9.35348e-08,0.321562,0.555031
101,100.735,0.0196406,1.01417e-07,0.321562,0.555032
102,101.735,0.0196391,6.39962e-08,0.32156,0.555031
103,102.735,0.0196377,9.35339e-08,0.321561,0.555031
104,103.735,0.0196362,6.39814e-08,0.32156,0.555031
105,104.735,0.0196348,9.21274e-08,0.321561,0.555031
106,105.735,0.0196334,9.38617e-08,0.321562,0.555031
107,106.735,0.019632,6.39763e-08,0.32156,0.555031
108,107.735,0.0196305,9.35342e-08,0.321562,0.555031
109,108.735,0.0196291,9.38614e-08,0.321561,0.555031
110,109.735,0.0196277,6.39785e-08,0.32156,0.555031
111,110.735,0.0196263,9.35333e-08,0.321561,0.555031
112,111.735,0.0196249,9.38602e-08,0.321562,0.555031
113,112.735,0.0196234,6.39772e-08,0.32156,0.55503
114,113.735,0.019622,9.35339e-08,0.321562,0.555031
115,114.735,0.0196206,9.35333e-08,0.321562,0.555031
116,115.735,0.0196191,6.39776e-08,0.32156,0.555031
117,116.735,0.0196177,9.21295e-08,0.321561,0.555031
118,117.735,0.0196163,9.35342e-08,0.321562,0.555031
119,118.735,0.0196149,1.01418e-07,0.321562,0.555032
120,119.735,0.0196134,6.39967e-08,0.32156,0.555031
121,120.735,0.019612,9.35345e-08,0.321561,0.555031
122,121.735,0.0196106,9.35356e-08,0.321562,0.555031
